Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS006,2,Right Knee Flexion,1,12,2,EEG1,ESG12,EMG2,0.0001488538837293,0.0007705322932451,1.146967243884039e-07,Fpz,T12L1-R,L-RF,YES,no
NIS006,2,Right Knee Flexion,2,9,2,EEG2,ESG9,EMG2,0.0001877421454992,0.0006108967354521,1.1469106379224626e-07,Fp2,L2L3-C,L-RF,YES,no
NIS006,2,Right Knee Flexion,12,3,2,EEG12,ESG3,EMG2,0.0001709536882117,0.0006164399674162,1.0538268599092825e-07,Cz,L1L2-L,L-RF,no,no
NIS006,2,Right Knee Flexion,4,3,2,EEG4,ESG3,EMG2,0.0001679040142334,0.0006164399674162,1.0350274506315229e-07,Fz,L1L2-L,L-RF,no,no
NIS006,2,Right Knee Flexion,12,9,2,EEG12,ESG9,EMG2,0.000169416409335,0.0006108967354521,1.0349593139483142e-07,Cz,L2L3-C,L-RF,YES,no
NIS006,3,Right Plantar Flexion,0,12,1,EEG0,ESG12,EMG1,0.0001522328529972,0.0003596326860133,5.4747909822880354e-08,Fp1,T12L1-R,R-MH,no,no
NIS006,3,Right Plantar Flexion,14,12,1,EEG14,ESG12,EMG1,0.0001346443459624,0.0003596326860133,4.8422507794984726e-08,C4,T12L1-R,R-MH,no,no
NIS006,3,Right Plantar Flexion,18,3,1,EEG18,ESG3,EMG1,0.0001480076898587,0.0003219896170776,4.7656939382175924e-08,CP4,L1L2-L,R-MH,no,no
NIS006,3,Right Plantar Flexion,0,3,1,EEG0,ESG3,EMG1,0.0001362985058221,0.0003219896170776,4.3886703697942723e-08,Fp1,L1L2-L,R-MH,no,no
NIS006,3,Right Plantar Flexion,10,12,1,EEG10,ESG12,EMG1,0.0001173419586848,0.0003596326860133,4.2200003783899676e-08,C3,T12L1-R,R-MH,no,no
NIS006,3,Right Plantar Flexion,18,1,1,EEG18,ESG1,EMG1,0.0001383927010465,0.0003010722575709,4.166620293541995e-08,CP4,T11T12-L,R-MH,no,no
